name|description|task|locations|photo|task_photo
Фонтан "Реки Сибири"|Фонтан «Реки Сибири», расположенный на центральной лестнице, ведущей от Театральной площади к набережной Енисея, является одним из самых знаменитых фонтанов города Красноярска. Считается, что это первый каскадный фонтан в Сибирском Федеральном округе. Его открытие состоялось в 2005 году, до 2008 года шло наполнение сооружения скульптурами. В центре фонтана на камне, с ладьей в вытянутой руке сидит красавец Енисей, по бокам от которого стоят изящные девушки – его притоки. Именно этими скульптурами и примечательна история строительства фонтана – во время создания композиции авторам позировали жительницы Красноярска и если характер девушки и реки – притока мастера находили схожими, то создавалась скульптура.|повторите позу любой из статуй на фоне фонтана|https://yandex.ru/maps/-/CDvpaO08|AgACAgIAAxkBAAIHNGZ6Q8NUTrnv8ncDxMgIOxzpsPm7AAIx4zEbp7rQS5wHCfBMaVLYAQADAgADeQADNQQ|
Музей-пароход «Святитель Николай»|Пароход "Святитель Николай" был построен золотопромышленником А.М. Сибиряковым 128 лет назад в Тюмени на заводе Курбатова. Сорок лет с 1886 по 1927 год ходил он по Енисею между городами Енисейск, Красноярск, Минусинск. Возил товары и пассажиров по великой сибирской реке. Но шло время. В 1927 году из корпуса парохода сделали несамоходную нефтеналивную баржу, которая проходила до 1960 года, после чего была благополучно списана и отправлена на кладбище кораблей. И сгинул бы "Святитель Николай", как и многие его современники, в металлоплавильных печах, если б не довелось ему в своё время прокатить одного очень почитаемого в СССР пассажира. А имя тому пассажиру - Владимир Ильич Ульянов. Именно к столетнему юбилею вождя мирового пролетариата и был восстановлен пароход.|Сфотографируйтесь на фоне парохода с сотрудником из города, в котором был изготовлен пароход, либо из города, где родился В.И. Ленин|https://yandex.ru/maps/-/CDvpaSYm|AgACAgIAAxkBAAIHOmZ6Q-tJsrsqUpDuoL504iqbIZy3AALd2DEb7zHQS1TT5uk8NxQfAQADAgADeQADNQQ|
Вантовый Виноградовский мост|Вантовый мост Красноярска – единственный пешеходный мост города через Енисей. Его официальное название – Виноградовский мост (назван по фамилии руководителя Мостоотряда № 7, возводившего этот мост). Строительство велось с 1979 по 1986 гг. Интересен факт, что изначально мост носил имя основателя города Андрея Дубенского. В 1999 году по решению Совета администрации Красноярска (Постановление № 336 от 21.06.1999 г.) мост переименовали в Виноградовский. Длина моста – 550 метров, ширина - около 10 метров, высота пилона – 40 метров. На Виноградовском мосту первым в мире был построен пролет в 320 метров с пешеходной частью из преднапряженных железобетонных плит. Мост включен в сборник ЮНЕСКО «Мостостроение мира», где в число 30 объектов мира и 7 объектов бывшего Советского Союза включены 3 красноярских моста (Вантовый, Коммунальный и Октябрьский).|Сфотографируйтесь на фоне моста с любой точки в позе|https://yandex.ru/maps/-/CDvpaS0W|AgACAgIAAxkBAAIGJ2Z5JsDdQXr4C0rSVg7aEV55HIveAALS2TEb7zHIS9rDSsoZgGjAAQADAgADeQADNQQ|AgACAgIAAxkBAAIHQGZ6RDMho2Z2WT4xWfIz4Tu2rmqwAALe2DEb7zHQS7pBaHNKv-3GAQADAgADeAADNQQ
Миниатюрная Эйфелева башня|Эйфелева башня в Красноярске – это маленький Париж на Взлетке и одна из архитектурных достопримечательностей города. Она располагается в сквере по улице Весны, напротив известного французского ресторана «Бонжур», что, кстати, очень символично. Красноярская Эйфелева башня - уменьшенная копия парижской Эйфелевой башни, возведенная в масштабе 1:21 с точным соблюдением пропорций. Общая высота Эйфелевой башни составляет 14 м 80 см - практически пятиэтажный дом. Сооружение было возведено в 2007 г. из металла высшего качества. Инициатором создания уменьшенной копии Эйфелевой башни выступил собственник уютного французского ресторана, напротив которого сегодня и возвышается местная «парижанка». Благодаря Эйфелевой башне слава о ресторане разнеслась по всему городу Красноярску, а на саму красавицу пришли посмотреть сотни зевак. Заказ на эту необычную рекламу был выполнен фирмой, которая специализировалась на изготовлении аттракционов. Башня была сварена из тысячи металлических деталей. Вес – башни около 8 тонн.|Сфотографируйтесь в прыжке на фоне башни (не обязательно точно повторить фото, главное, чтобы было видно прыжок)|https://yandex.ru/maps/-/CDvpaS3b|AgACAgIAAxkBAAIHSGZ6RFNkpnAw155f8fyQEPEyNlaJAALf2DEb7zHQSyreSJ_djVmJAQADAgADeAADNQQ|AgACAgIAAxkBAAIHUmZ6RHEcr71yapuPrVIvwnaV2yKAAALg2DEb7zHQSy9OQeUWyea1AQADAgADeAADNQQ
Река Енисей|Набережная левого берега Енисея в Красноярске — одна из визитных карточек города, которая берет свое начало в районе Виноградовского моста и завершается у Железнодорожного моста. Длина променада вдоль Енисея — 6 км. Набережную называют еще Центральной, а также улицей Дубровинского, так как она повторяет ее границы, восточная часть променада у места впадения реки Кача в Енисей известна как набережная Стрелки.|Сфотографируйтесь на набережной Стрелки сложив руками сердечко.|https://yandex.ru/maps/-/CDvpaWOj|AgACAgIAAxkBAAIHWmZ6RI0v36hrld4rByOFm15jEsBKAALh2DEb7zHQS_6XIMBFbSFaAQADAgADeQADNQQ|AgACAgIAAxkBAAIHYmZ6RKUQFDjP6q8US6e_aEiOoI8WAALi2DEb7zHQS2ObjvvzTBl6AQADAgADeAADNQQ
Часовня Параскевы Пятницы|Часовню на Караульной горе построили в середине 19 века...|Сфотографируйтесь на фоне часовни держа в руках купюру Банка России, на которой нанесена данная часовня|https://yandex.ru/maps/-/CDvpaW3l|AgACAgIAAxkBAAIHamZ6ROfXP3eQ17XDCslgvEcoBKiIAALj2DEb7zHQS_tgWIGkbj-OAQADAgADeQADNQQ|
Парк «Гремячая Грива»|Эко-парк «Гремячая грива» — это живописный лесной ландшафт и одновременно комфортное и безопасное место отдыха красноярцев...|Сфотографируйте белку этого парка. Если белка окажется на Вашем фоне, то это будет очень КРУТО.|https://yandex.ru/maps/-/CDvpa0jH|AgACAgIAAxkBAAIHcmZ6RUwXmuDQo7qGo7DElTF5qUZYAALm2DEb7zHQSy061Nk8erJ5AQADAgADeQADNQQ|AgACAgIAAxkBAAIHemZ6RWb_QYNt0dCUCJjx_7HMQnaMAALn2DEb7zHQSxcPsfMvMJcuAQADAgADeAADNQQ
Триумфальная арка|Триумфальная арка является одной из новейших достопримечательностей административного, промышленного и культурного центра Восточной Сибири - города Красноярска...|Сделайте креативное фото на фоне арки (лучшее фото будет отмечено отдельным призом)|https://yandex.ru/maps/-/CDvpa03R|AgACAgIAAxkBAAIHgmZ6RYZl_jneBw8W_2Cxo-q6KIdbAALo2DEb7zHQS9w2RVkGtnIFAQADAgADeQADNQQ|
Памятник "Белая лошадь"|Памятник в честь русских первопроходцев в Сибири. Согласно одной из легенд, именно здесь в XVII веке впервые высадились казаки во главе с Андреем Дубенским...|Сфотографируйтесь на фоне коня обнявшись.|https://yandex.ru/maps/-/CDvpa88p|AgACAgIAAxkBAAIHimZ6Ra-Q0BrmRxjUx6iqguKpi_uvAALp2DEb7zHQS7fLXaBoXRlsAQADAgADeQADNQQ|
Красноярский Биг-Бен|Красноярский Биг Бен – часовая башня в здании администрации города. Копия английской знаменитости стала одним из главных украшений и достопримечательностей Красноярска...|Сфотографируйтесь в английском стиле на фоне часовой башни Биг Бен|https://yandex.ru/maps/-/CDvpa8~x|AgACAgIAAxkBAAIHkmZ6Rduz8fpW08Y378epzQVFe4kFAAI44zEbp7rQS1SBjjuDZGlfAQADAgADeQADNQQ|
Храм Преображения Господня|В самом центре Красноярска, неподалеку от городского парка культуры и отдыха возвышается католический храм Преображения Господня. Грандиозное сооружение построили здесь в начале 20 столетия...|Дотянитесь рукой до верхушки храма и сделай фотографию.|https://yandex.ru/maps/-/CDvpaD5L|AgACAgIAAxkBAAIHmmZ6Rfj2232eUnLHn_jWOUkpu1TCAALq2DEb7zHQSz68AAHmRUpC7gEAAwIAA3kAAzUE|
Песочные часы|Похожие часы есть в Канаде, город Ванкувер. Красноярские часы отличаются своим уникальным механизмом. 17 октября 2005 года красноярцы впервые увидели эти замечательные часы...|Сфотографируйтесь на фоне одного из мудрых изречений, которое Вам больше нравится|https://yandex.ru/maps/-/CDvpaD2d|AgACAgIAAxkBAAIHpGZ6Riy-NawX1EzZi9UgeUykN47cAALr2DEb7zHQS8KTffAtotzqAQADAgADeQADNQQ|